Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Krishnagar West,,Asoke Banerjee,CPI(M),64743,48.80,Ujjal Biswas,AITC,53514,11229,8.46,90.07
Kulpi,,Sakuntala Paik,CPI(M),51680,45.83,Jagaranjan Haldar,AITC,49888,1792,1.59,82.01
Kultali,SC,Joykrishna Halder,IND,67664,47.86,Ramsankar Halder,CPI(M),66860,804,0.57,86.38
Kulti,,Ujjal Chatterjee,AITC,57097,54.55,Acharya Maniklal,AIFB,40281,16816,16.07,66.03
Kumarganj,,Mafuja Khatun,CPI(M),75769,48.73,Ahmad Ali Sardar (Moulana Saheb),AITC,65133,10636,6.84,88.74
Kumargram,ST,Dasrath Tirkey,RSP,69540,53.92,Swapan Kujur,AITC,32372,37168,28.82,85.41
Kurseong,,Shanta Chhetri,GNLF,63295,53.56,Buddhiman Rai,IND,30237,33058,27.98,71.05
Kushmundi,SC,Narmada Chandra Roy,RSP,66131,46.86,Rajib Lochan Sarkar,INC,43915,22216,15.74,88.43
Labpur,,Nabanita Mukherjee,CPI(M),65265,57.69,Ojha Debasis,AITC,33724,31541,27.88,82.79
Lalgola,,Abu Hena,INC,69538,49.24,Jinnatunnesa Begam,CPI(M),63201,6337,4.49,87.11
Madarihat,ST,Kumari Kujur,RSP,47331,40.96,Atul Suba,INC,28565,18766,16.24,81.98
Magrahat Paschim,,Dr.Abul Hasnat,CPI(M),59274,50.43,Giasuddin Molla,AITC,38049,21225,18.06,76.49
Magrahat Purba,SC,Bansari Mohan Kanji,CPI(M),66996,50.48,Nomita Saha,AITC,46676,20320,15.31,78.61
Mahammad Bazar,,Dhiren Bagdi,CPI(M),69740,53.74,Biswajit Mukherjee,INC,43260,26480,20.41,81.88
Maheshtala,,Mursalin Molla,CPI(M),65691,49.99,Dulal Das,INC,37835,27856,21.20,75.80
Mahishadal,,Tamalika Panda Seth,CPI(M),65704,48.99,Buddhadeb Bhowmik,AITC,62672,3032,2.26,91.06
Mainaguri,SC,Bachchamohan Roy,RSP,72090,53.51,Gokul Kumar Roy,BJP,24704,47386,35.17,84.52
Mal,ST,Somra Lakra,CPI(M),56564,48.43,Turi Kol Munda,INC,46608,9956,8.52,83.33
Maldaha,SC,Subhendu Chowdhury,CPI(M),63654,41.05,Bhupendra Nath Halder (Arjun),INC,52318,11336,7.31,84.28
Manbazar,ST,Samya Pyari Mahato,CPI(M),56739,49.51,Kamakshya Prasad Singh Deo,AITC,48035,8704,7.59,81.78
Mandirbazar,SC,Dr. Tapati Saha,CPI(M),63751,47.91,Choudhury Mohan Jatua,AITC,62399,1352,1.02,80.59
Mangalkote,,Sadhana Mallik,CPI(M),72664,59.24,Abdul Based Sekh,AITC,32050,40614,33.11,80.14
Manicktola,,Rupa Bagchi,CPI(M),53908,47.83,Paresh Paul,AITC,52523,1385,1.23,73.20
